ChangeID,Summary,Priority,StatusReason,Impact,ChangePlanning,Submitter,Coordinator,SubmitDateTime,SchStartDateTime,SchEndDateTime,ActualStartDateTime,ActualEndDateTime,CompletedDateTime,ClosedDateTime,CompletedYear,CompletedMonth,ChangeSuccess,ProdCat2,ProdCat3,OpCat1,OpCat2,Customer,CustomerOpco,CustomerGroup,CustomerDept,ApprovalDateTime,SchForAppDateTime,ImpInProgDateTime,LastModifiedDate,CompletedYearQtr,ClosedMonth,ClosedYearQtr
CRQ000000278909,"AL, Birmingham, APC HQ and Leeds Nokia/Turf Club OLT circuit cutover",Low,Successful,Minor,Planned,GPB,TT,10:42:05 AM,6:00:00 PM,12:00:00 AM,6:02:00 PM,8:00:00 PM,9:36:56 AM,9:37:09 AM,2023,2023-02,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,10:49:25 AM,12:30:07 PM,5:41:20 PM,9:37:09 AM,2023-Q1,2023-02,2023-Q1
CRQ000000278912,"GA, Atlanta, Distribution ROW, Repair damaged section of cable.",Medium,Successful,Moderate,Planned,JLM,TT,1:06:22 PM,8:00:00 AM,6:00:00 PM,8:00:00 AM,2:06:00 PM,9:41:22 AM,9:47:24 AM,2023,2023-02,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Install,Transport,JM,SCS,INFRASTRUCTURE SERVICES,FO AL LONG HAUL FIBER,4:42:34 PM,11:09:17 AM,7:41:21 AM,11:13:48 AM,2023-Q1,2023-02,2023-Q1
CRQ000000278914,"GA, YPSILANTI LTE G8144, REPLACE LMR-400 COAXIAL IF FEEDERS ON MINILINK",Low,Successful,Minor,Planned,WKA,TT,1:28:53 PM,7:00:00 AM,5:00:00 PM,7:00:00 AM,5:00:00 PM,11:58:58 AM,11:59:16 AM,2023,2023-02,Successful,Transport Device,Microwave TX/RX (Licensed),Upgrade/Modify,Transport,WK,SCS,INFRASTRUCTURE SERVICES,FO GA OPERATIONS,2:49:43 PM,2:24:33 PM,6:41:27 AM,11:31:19 AM,2023-Q1,2023-02,2023-Q1
CRQ000000278918,"AL, Bessemer, Reconfigure fiber between Bessemer TS and Leaf Lake",Medium,Successful,Moderate,Planned,RRR,TT,2:52:03 PM,7:00:00 PM,12:00:00 AM,7:07:00 PM,11:57:00 PM,9:15:41 AM,9:31:54 AM,2023,2023-02,Successful,Transport Device,FIBER OPTIC TRANSPORT - FDP / OSP,Upgrade/Modify,Transport,RRR,SCS,INFRASTRUCTURE SERVICES,FO AL LONG HAUL FIBER,2:59:34 PM,11:06:11 AM,6:41:17 PM,11:13:48 AM,2023-Q1,2023-02,2023-Q1
CRQ000000279007,"AL, BIRMINGHAM, APC CORP HQ, TURF CLUB DS CABINET, RECONFIG BACKHAUL TO NOKIA SAR",Low,Successful,Minor,Planned,ZPE,TT,11:17:04 AM,6:00:00 PM,12:00:00 AM,6:00:00 PM,12:00:00 AM,9:39:26 AM,9:39:41 AM,2023,2023-02,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,ZP,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,10:49:03 AM,12:32:58 PM,5:41:21 PM,9:39:41 AM,2023-Q1,2023-02,2023-Q1
CRQ000000279413,"GA, Savannah ICON Ring, Create SWAN and SoNet port settings for DHA/LFL",Medium,Successful,Moderate,Planned,RPY,TT,2:16:31 PM,9:00:00 AM,6:00:00 PM,9:12:00 AM,2:28:00 PM,2:34:04 PM,2:36:02 PM,2023,2023-03,Successful,Transport Device,Optical Transport Equipment,Upgrade/Modify,Transport,RY,SCS,INFRASTRUCTURE SERVICES,TELECOM EDGE SERVICES,9:57:46 AM,2:54:12 PM,8:41:34 AM,11:10:48 PM,2023-Q1,2023-03,2023-Q1
CRQ000000279600,"GA, Lakeland ENODEB, Emergency Hybrid Replacement",Low,Successful,Minor,Planned,LPE,TT,12:45:38 PM,11:00:00 AM,2:00:00 PM,11:00:00 AM,2:00:00 PM,2:12:32 PM,2:27:07 PM,2023,2023-02,Successful,Facilities Component,"Cables, jumpers, and connectors",Upgrade/Modify,Transport,WLP,COM,PRODUCT DEVELOPMENT & SUPPORT,SE RAN OPS,2:49:44 PM,2:21:31 PM,10:41:29 AM,2:27:06 PM,2023-Q1,2023-02,2023-Q1
CRQ000000279810,"AL, Northport, Bankhead DAM, NGTAN circuit cutover.",Low,Successful,Minor,Planned,GPB,TT,11:18:45 AM,10:00:00 AM,3:00:00 PM,10:00:00 AM,12:29:00 PM,4:54:39 PM,4:55:25 PM,2023,2023-02,Successful,Transport Device,Other Transport Device,Upgrade/Modify,Transport,GPB,SCS,INFRASTRUCTURE SERVICES,TELECOM CORE SERVICES,9:53:27 AM,2:51:50 PM,9:41:33 AM,4:55:25 PM,2023-Q1,2023-02,2023-Q1
CRQ000000280127,"AL, Ensley LTE site AT&T Circuit migration",Low,Successful,Minor,Planned,DRI,TT,4:52:02 PM,9:00:00 AM,1:00:00 PM,10:00:00 AM,10:21:00 AM,4:50:22 PM,4:53:57 PM,2023,2023-02,Successful,Transport Device,Other Transport Device,Migrate,Transport,DR,SCS,INFRASTRUCTURE SERVICES,TELECOM AGGREGATE SERVICES,2:46:46 PM,2:36:46 PM,8:41:30 AM,4:53:57 PM,2023-Q1,2023-02,2023-Q1
CRQ000000280220,"AL, Thomasville LTE, guy wire tension and tower plumb checks",Low,Successful,Minor,Planned,CDL,TT,2:40:06 PM,11:00:00 AM,8:00:00 PM,11:00:00 AM,8:00:00 PM,9:39:12 AM,9:39:25 AM,2023,2023-03,Successful,Transport Device,Tower Structure,Repair,Transport,CDL,COM,PRODUCT DEVELOPMENT & SUPPORT,RAN OPERATIONS,8:43:09 AM,1:52:48 PM,10:41:40 AM,9:39:24 AM,2023-Q1,2023-03,2023-Q1
